year,month,jurisdiction,sbe_name,dem,rep,grn,wcp,una,oth,total,third_party_unaffiliated,dem_pct,rep_pct,third_party_unaffiliated_pct,dr_margin,dr_margin_pct
2026,7,Allegany County,ALLEGANY,10711,23625,68,99,9646,726,44875,10539,23.87,52.65,23.49,-12914,-28.78
2026,7,Anne Arundel County,ANNE ARUNDEL,175458,129399,563,436,112821,6613,425290,120433,41.26,30.43,28.32,46059,10.83
2026,7,Baltimore City,BALTIMORE CITY,298445,29388,860,805,71796,6821,408115,80282,73.13,7.2,19.67,269057,65.93
2026,7,Baltimore County,BALTIMORE CO.,307919,139323,827,727,128214,9785,586795,139553,52.47,23.74,23.78,168596,28.73
2026,7,Calvert County,CALVERT,23263,29053,65,72,17383,1101,70937,18621,32.79,40.96,26.25,-5790,-8.17
2026,7,Caroline County,CAROLINE,5868,11436,34,41,5275,362,23016,5712,25.5,49.69,24.82,-5568,-24.19
2026,7,Carroll County,CARROLL,32965,64310,161,126,32203,1952,131717,34442,25.03,48.82,26.15,-31345,-23.79
2026,7,Cecil County,CECIL,18699,35978,90,133,18275,1261,74436,19759,25.12,48.33,26.54,-17279,-23.21
2026,7,Charles County,CHARLES,78641,23425,156,152,27756,1624,131754,29688,59.69,17.78,22.53,55216,41.91
2026,7,Dorchester County,DORCHESTER,9400,9853,22,36,4685,398,24394,5141,38.53,40.39,21.07,-453,-1.86
2026,7,Frederick County,FREDERICK,78683,68188,285,202,57241,2743,207342,60471,37.95,32.89,29.16,10495,5.06
2026,7,Garrett County,GARRETT,3373,14070,23,19,3363,283,21131,3688,15.96,66.58,17.45,-10697,-50.62
2026,7,Harford County,HARFORD,64318,83006,210,231,48041,3306,199112,51788,32.3,41.69,26.01,-18688,-9.39
2026,7,Howard County,HOWARD,124960,47109,360,163,67762,3334,243688,71619,51.28,19.33,29.39,77851,31.95
2026,7,Kent County,KENT,5601,5603,16,17,3052,204,14493,3289,38.65,38.66,22.69,-2,-0.01
2026,7,Montgomery County,MONTGOMERY,403861,98205,1080,506,187369,9306,700327,198261,57.67,14.02,28.31,305656,43.65
2026,7,Prince George's County,PR. GEORGE'S,457896,41581,880,720,113864,13773,628714,129237,72.83,6.61,20.56,416315,66.22
2026,7,Queen Anne's County,QUEEN ANNE'S,11197,20841,48,44,9556,584,42270,10232,26.49,49.3,24.21,-9644,-22.81
2026,7,St. Mary's County,ST. MARY'S,25011,33498,79,82,19360,1183,79213,20704,31.57,42.29,26.14,-8487,-10.72
2026,7,Somerset County,SOMERSET,5309,6398,26,26,2827,224,14810,3103,35.85,43.2,20.95,-1089,-7.35
2026,7,Talbot County,TALBOT,10479,11776,24,22,6363,414,29078,6823,36.04,40.5,23.46,-1297,-4.46
2026,7,Washington County,WASHINGTON,30553,44922,147,163,26331,1618,103734,28259,29.45,43.3,27.24,-14369,-13.85
2026,7,Wicomico County,WICOMICO,25618,24418,97,126,16228,1233,67720,17684,37.83,36.06,26.11,1200,1.77
2026,7,Worcester County,WORCESTER,13322,20603,48,37,9810,762,44582,10657,29.88,46.21,23.9,-7281,-16.33
