jurisdiction,harris_votes,trump_votes,oliver_votes,stein_votes,kennedy_votes,write_in_votes,total_presidential_votes,winner,winner_votes,margin_votes,winner_pct,margin_pct
Allegany County,9231,22141,130,136,363,136,32137,Trump,22141,12910,68.9,40.17
Anne Arundel County,171945,128892,2141,2429,3375,2790,311572,Harris,171945,43053,55.19,13.82
Baltimore City,195109,27984,892,3222,1875,1672,230754,Harris,195109,167125,84.55,72.43
Baltimore County,249958,149560,2240,4195,3858,3104,412915,Harris,249958,100398,60.53,24.31
Calvert County,23438,29361,297,232,554,309,54191,Trump,29361,5923,54.18,10.93
Caroline County,4860,11053,84,99,180,54,16330,Trump,11053,6193,67.69,37.92
Carroll County,36867,62273,845,629,1182,855,102651,Trump,62273,25406,60.66,24.75
Cecil County,17628,33871,291,286,536,219,52831,Trump,33871,16243,64.11,30.75
Charles County,63454,26145,334,828,889,447,92097,Harris,63454,37309,68.9,40.51
Dorchester County,6954,9390,57,138,191,42,16772,Trump,9390,2436,55.99,14.52
Frederick County,82409,68753,970,1378,1494,1110,156114,Harris,82409,13656,52.79,8.75
Garrett County,3456,11983,75,48,223,53,15838,Trump,11983,8527,75.66,53.84
Harford County,62453,83050,1023,935,1559,1070,150090,Trump,83050,20597,55.33,13.72
Howard County,124764,49425,1246,3341,1712,1803,182291,Harris,124764,75339,68.44,41.33
Kent County,5251,5561,60,82,114,60,11128,Trump,5561,310,49.97,2.79
Montgomery County,386581,112637,2416,8009,4276,5302,519221,Harris,386581,273944,74.45,52.76
Prince George's County,347038,45008,1038,5369,3428,2128,404009,Harris,347038,302030,85.9,74.76
Queen Anne's County,11273,20200,174,153,336,211,32347,Trump,20200,8927,62.45,27.6
Somerset County,4054,5805,32,85,114,47,10137,Trump,5805,1751,57.27,17.27
St. Mary's County,23531,33582,409,352,669,411,58954,Trump,33582,10051,56.96,17.05
Talbot County,11119,11125,109,120,194,163,22830,Trump,11125,6,48.73,0.03
Washington County,27260,44054,363,513,811,331,73332,Trump,44054,16794,60.07,22.9
Wicomico County,21513,24065,205,371,544,214,46912,Trump,24065,2552,51.3,5.44
Worcester County,12431,19632,139,184,342,153,32881,Trump,19632,7201,59.71,21.9
